type,cap_shape,cap_color,odor,gill_attachment
edible,convex,yellow,anise,free
edible,convex,yellow,anise,free
edible,convex,gray,none,free
edible,convex,brown,none,free
edible,flat,brown,none,free
edible,flat,white,none,free
edible,flat,white,none,free
edible,convex,yellow,anise,free
edible,flat,white,almond,free
edible,bell,white,anise,free
poisonous,flat,white,pungent,free
edible,convex,gray,none,free
edible,flat,brown,anise,free
edible,flat,brown,none,free
poisonous,convex,white,pungent,free
edible,convex,brown,anise,free
edible,convex,gray,none,free
edible,convex,white,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,convex,white,anise,free
edible,convex,white,almond,free
edible,convex,white,none,free
edible,flat,yellow,almond,free
edible,flat,brown,none,free
edible,flat,gray,none,free
edible,flat,yellow,almond,free
edible,flat,brown,anise,free
edible,convex,brown,none,free
poisonous,flat,brown,pungent,free
edible,convex,brown,none,free
edible,flat,brown,none,free
edible,bell,yellow,almond,free
edible,bell,white,almond,free
edible,convex,white,almond,free
poisonous,flat,white,pungent,free
poisonous,flat,white,pungent,free
edible,convex,brown,none,free
edible,flat,yellow,anise,free
edible,convex,yellow,anise,free
edible,convex,white,none,free
edible,convex,gray,none,free
poisonous,convex,brown,pungent,free
edible,convex,gray,none,free
edible,flat,brown,none,free
edible,convex,white,none,free
edible,flat,white,none,free
edible,convex,yellow,almond,free
edible,flat,yellow,almond,free
edible,convex,gray,none,free
poisonous,convex,brown,pungent,free
edible,convex,yellow,almond,free
edible,flat,brown,almond,free
edible,convex,white,none,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,convex,white,almond,free
edible,convex,gray,none,free
poisonous,flat,brown,pungent,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,convex,red,none,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,convex,yellow,anise,free
edible,convex,brown,none,free
edible,bell,yellow,anise,free
edible,convex,white,anise,free
edible,flat,gray,none,free
edible,convex,yellow,anise,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,yellow,anise,free
edible,convex,gray,none,free
edible,convex,gray,none,free
poisonous,flat,white,pungent,free
edible,flat,yellow,anise,free
edible,convex,white,almond,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,convex,brown,anise,free
edible,convex,white,none,free
poisonous,flat,white,pungent,free
edible,convex,yellow,almond,free
edible,convex,gray,none,free
edible,flat,yellow,anise,free
edible,flat,gray,none,free
edible,flat,brown,none,free
poisonous,flat,white,pungent,free
edible,flat,gray,none,free
edible,convex,brown,anise,free
edible,flat,white,none,free
poisonous,flat,brown,pungent,free
edible,bell,yellow,anise,free
edible,flat,gray,none,free
edible,bell,white,anise,free
edible,flat,gray,none,free
edible,bell,white,anise,free
edible,convex,white,anise,free
poisonous,flat,brown,pungent,free
edible,convex,yellow,anise,free
edible,sunken,brown,none,free
edible,convex,brown,almond,free
edible,flat,gray,none,free
edible,flat,yellow,anise,free
edible,convex,gray,none,free
poisonous,flat,brown,pungent,free
edible,convex,gray,none,free
edible,convex,gray,none,free
edible,convex,gray,none,free
poisonous,convex,brown,pungent,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,gray,none,free
poisonous,convex,brown,pungent,free
edible,flat,brown,none,free
edible,flat,white,none,free
poisonous,convex,white,pungent,free
edible,flat,gray,none,free
edible,bell,yellow,anise,free
edible,convex,brown,none,free
edible,flat,brown,none,free
poisonous,flat,white,pungent,free
edible,convex,brown,almond,free
edible,flat,white,none,free
edible,flat,brown,anise,free
edible,flat,gray,none,free
edible,flat,gray,none,free
edible,flat,gray,none,free
edible,flat,brown,none,free
edible,convex,gray,none,free
edible,convex,white,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,convex,brown,none,free
edible,flat,yellow,almond,free
edible,convex,white,none,free
edible,flat,white,none,free
edible,bell,yellow,almond,free
edible,convex,white,none,free
edible,convex,gray,none,free
poisonous,flat,brown,pungent,free
edible,convex,gray,none,free
poisonous,convex,brown,pungent,free
edible,flat,white,none,free
edible,convex,white,almond,free
edible,convex,brown,none,free
edible,convex,brown,none,free
edible,bell,yellow,anise,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,white,none,free
edible,convex,brown,none,free
edible,convex,white,none,free
edible,flat,gray,none,free
edible,convex,gray,none,free
edible,convex,gray,none,free
edible,flat,brown,none,free
edible,flat,white,none,free
edible,flat,brown,almond,free
poisonous,convex,white,pungent,free
edible,flat,gray,none,free
poisonous,convex,white,pungent,free
edible,bell,white,almond,free
edible,convex,gray,none,free
edible,flat,gray,none,free
edible,flat,white,none,free
edible,flat,gray,none,free
edible,bell,white,almond,free
edible,convex,gray,none,free
edible,convex,red,none,free
edible,convex,yellow,almond,free
edible,convex,white,none,free
edible,bell,white,almond,free
poisonous,convex,brown,pungent,free
edible,convex,brown,none,free
edible,flat,brown,none,free
edible,bell,white,almond,free
edible,convex,gray,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,convex,gray,none,free
edible,bell,yellow,anise,free
edible,flat,brown,none,free
edible,convex,white,none,free
edible,flat,brown,almond,free
edible,convex,brown,anise,free
edible,convex,yellow,anise,free
edible,flat,gray,none,free
edible,convex,white,almond,free
edible,convex,white,almond,free
edible,flat,white,none,free
edible,flat,gray,none,free
poisonous,flat,brown,pungent,free
edible,convex,yellow,anise,free
edible,convex,brown,none,free
edible,convex,white,none,free
edible,convex,yellow,anise,free
edible,convex,red,none,free
edible,flat,brown,anise,free
edible,bell,white,almond,free
poisonous,convex,brown,pungent,free
edible,convex,gray,none,free
edible,bell,white,almond,free
edible,convex,white,anise,free
edible,bell,yellow,anise,free
edible,convex,white,anise,free
edible,convex,yellow,almond,free
edible,bell,white,almond,free
edible,flat,brown,none,free
poisonous,flat,white,pungent,free
edible,flat,brown,none,free
edible,flat,brown,none,free
poisonous,flat,white,pungent,free
edible,flat,white,none,free
edible,convex,white,none,free
edible,convex,brown,none,free
edible,flat,brown,none,free
edible,flat,yellow,almond,free
edible,convex,gray,none,free
edible,convex,brown,none,free
poisonous,flat,brown,pungent,free
edible,convex,white,none,free
edible,flat,brown,none,free
edible,flat,white,none,free
edible,flat,white,none,free
edible,convex,yellow,almond,free
edible,convex,gray,none,free
edible,convex,gray,none,free
edible,flat,brown,none,free
edible,flat,brown,none,free
edible,convex,white,none,free
edible,convex,red,none,free
edible,convex,brown,none,free
poisonous,convex,white,pungent,free
edible,convex,brown,none,free
edible,convex,brown,none,free
poisonous,flat,white,pungent,free
edible,flat,gray,none,free
edible,convex,white,none,free
edible,flat,brown,none,free
edible,flat,gray,none,free
edible,flat,gray,none,free
edible,flat,gray,none,free
edible,convex,gray,none,free
edible,convex,brown,none,free
poisonous,flat,white,pungent,free
edible,convex,gray,none,free
poisonous,convex,white,pungent,free
poisonous,flat,white,pungent,free
edible,flat,brown,none,free
edible,convex,gray,none,free
edible,flat,gray,none,free
edible,convex,gray,none,free
edible,flat,gray,none,free
edible,flat,gray,none,free
edible,convex,gray,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
poisonous,flat,white,pungent,free
poisonous,flat,brown,pungent,free
edible,convex,white,none,free
poisonous,flat,brown,pungent,free
edible,flat,brown,none,free
edible,flat,white,none,free
poisonous,flat,brown,pungent,free
poisonous,flat,white,pungent,free
poisonous,flat,brown,pungent,free
poisonous,flat,white,pungent,free
edible,convex,white,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,flat,gray,none,free
poisonous,flat,brown,pungent,free
edible,convex,white,none,free
edible,convex,red,none,free
edible,flat,gray,none,free
edible,convex,white,none,free
poisonous,flat,white,pungent,free
edible,flat,brown,none,free
edible,convex,white,none,free
poisonous,flat,white,pungent,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,white,none,free
edible,flat,white,none,free
edible,bell,yellow,almond,free
edible,convex,gray,none,free
edible,convex,white,none,free
edible,convex,brown,none,free
edible,convex,brown,none,free
edible,flat,gray,none,free
poisonous,convex,brown,pungent,free
edible,flat,gray,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,convex,white,none,free
poisonous,flat,white,pungent,free
poisonous,flat,white,pungent,free
edible,convex,gray,none,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,convex,yellow,almond,free
edible,flat,white,none,free
edible,convex,white,none,free
edible,convex,gray,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,flat,gray,none,free
edible,flat,gray,none,free
edible,flat,brown,none,free
edible,flat,white,none,free
edible,flat,white,none,free
edible,flat,gray,none,free
edible,flat,white,none,free
edible,flat,brown,none,free
poisonous,flat,white,pungent,free
edible,convex,gray,none,free
edible,bell,yellow,anise,free
edible,flat,brown,none,free
edible,flat,gray,none,free
edible,convex,brown,none,free
edible,bell,yellow,anise,free
edible,convex,white,none,free
edible,flat,brown,none,free
poisonous,convex,white,pungent,free
edible,flat,white,none,free
poisonous,flat,white,pungent,free
edible,convex,brown,none,free
edible,flat,brown,none,free
edible,bell,yellow,anise,free
edible,flat,gray,none,free
edible,convex,gray,none,free
edible,flat,gray,none,free
edible,convex,gray,none,free
edible,flat,white,none,free
poisonous,flat,brown,pungent,free
edible,flat,gray,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,convex,brown,none,free
edible,convex,red,none,free
edible,convex,yellow,almond,free
edible,flat,white,none,free
edible,convex,white,none,free
edible,flat,brown,none,free
poisonous,flat,white,pungent,free
edible,flat,gray,none,free
edible,flat,white,none,free
edible,flat,white,none,free
poisonous,flat,brown,pungent,free
edible,convex,white,none,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,convex,gray,none,free
edible,flat,brown,none,free
edible,flat,white,none,free
edible,flat,brown,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,flat,brown,none,free
edible,flat,white,none,free
edible,flat,brown,none,free
poisonous,flat,brown,pungent,free
edible,flat,white,none,free
edible,flat,white,none,free
edible,convex,brown,none,free
edible,flat,white,none,free
edible,convex,gray,none,free
edible,flat,brown,none,free
edible,convex,gray,none,free
edible,flat,white,none,free
edible,flat,brown,none,free
edible,convex,brown,none,free
edible,convex,white,none,free
edible,bell,yellow,anise,free
poisonous,convex,brown,pungent,free
poisonous,flat,brown,pungent,free
edible,flat,white,none,free
edible,flat,brown,none,free
poisonous,flat,brown,pungent,free
edible,flat,brown,none,free
poisonous,convex,white,pungent,free
edible,flat,brown,none,free
poisonous,flat,white,pungent,free
edible,flat,brown,none,free
edible,flat,gray,none,free
edible,convex,gray,none,free
edible,flat,brown,none,free
edible,convex,gray,none,free
edible,convex,brown,none,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,convex,white,none,free
edible,flat,white,none,free
edible,convex,white,none,free
edible,flat,gray,none,free
edible,convex,brown,none,free
edible,convex,white,none,free
edible,convex,brown,none,free
edible,flat,gray,none,free
poisonous,flat,white,pungent,free
edible,flat,brown,none,free
edible,flat,yellow,almond,free
edible,convex,gray,none,free
edible,flat,gray,none,free
edible,convex,gray,none,free
poisonous,flat,white,pungent,free
edible,convex,white,none,free
edible,convex,white,none,free
edible,flat,gray,none,free
edible,flat,brown,none,free
edible,convex,brown,none,free
edible,flat,brown,none,free
edible,flat,brown,none,free
edible,convex,white,none,free
edible,flat,white,none,free
edible,flat,brown,none,free
edible,convex,white,anise,free
edible,convex,brown,none,free
edible,convex,gray,none,free
edible,flat,white,none,free
